RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9226,6,HONDA,TRX 400EX/X,1999,2004,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9227,6,HONDA,TRX 400EX/X,2005,2013,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9228,6,HONDA,TRX 450R,2004,2005,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9229,6,HONDA,TRX 450R,2006,2011,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9244,1,HONDA,VFR 400R (NC30),1990,1992,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9246,1,HONDA,CB 500/S,1997,2003,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9247,1,HONDA,CBF 500/ABS,2004,2008,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9248,1,HONDA,CB 600F Hornet,1998,2006,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9249,1,HONDA,CB 600F Hornet,2007,2013,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9250,1,HONDA,CBF 600/ Faired,2004,2007,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9251,1,HONDA,CBR 600F,1987,1990,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9253,1,HONDA,CBR 600F2/F3 91-94,1991,1994,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9254,1,HONDA,CBR 600F2/F3 97-98,1997,1998,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9256,1,HONDA,CBR 600F4,1999,2000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9258,1,HONDA,CBR 600F4,2001,2006,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9261,1,HONDA,CBR 600RR,2005,2006,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
