RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9473,1,KAWASAKI,VN 800 CLASSIC,1996,2006,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9474,1,KAWASAKI,VN 800 DRIFTER,1999,2004,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9475,1,KAWASAKI,ZX 900 (GPZ 900R),1984,1990,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9476,1,KAWASAKI,ZX 900 (GPZ 900R),1990,1993,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9477,1,KAWASAKI,ZX 900 (ZX-9R),1996,1997,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9478,1,KAWASAKI,ZX 900 (ZX-9R),1998,2001,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9479,1,KAWASAKI,ZX 900 (ZX-9R),2002,2004,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9480,1,KAWASAKI,LV 1000 (KLV 1000),2005,2006,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9482,1,KAWASAKI,ZX 1000 (ZX-10R),2004,2005,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9484,1,KAWASAKI,Z 1000,2003,2006,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9485,1,KAWASAKI,Z 1000,2007,2009,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9486,1,KAWASAKI,ZX 1100 (GPZ 1100),1995,1998,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9487,1,KAWASAKI,ZX 1100 (GPZ 1100 ABS),1996,1998,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9488,1,KAWASAKI,ZX 1100 (ZZR 1100),1990,1993,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9489,1,KAWASAKI,ZX 1100 (ZZR 1100),1993,1994,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9490,1,KAWASAKI,ZX 1100 (ZZR 1100),1995,2001,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9491,1,KAWASAKI,ZR 1100 (ZEPHYR),1996,1997,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9492,1,KAWASAKI,ZR 1100 (ZRX 1100),1997,2000,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9493,1,KAWASAKI,ZX 1200 (ZZR-1200),2002,2005,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9494,1,KAWASAKI,ZX 1200 (ZX-12R),2000,2005,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9495,1,KAWASAKI,ZR 1200 (ZRX 1200R),2001,2008,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9496,1,KAWASAKI,ZR 1200 (ZRX 1200S),2001,2006,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9497,1,KAWASAKI,ZX 1400 (ZX-14),2006,2011,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9499,2,KTM,65 SX,1998,2002,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9500,2,KTM,65 SX,2003,2003,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9501,2,KTM,65 SX,2004,2008,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9502,2,KTM,85 SX (17/14),2004,2009,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9503,2,KTM,85 SX (19/16),2004,2009,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9504,2,KTM,125 SX,2004,2008,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9505,2,KTM,200 SX,2003,2006,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9507,2,KTM,250 SX,1991,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9508,2,KTM,250 SX,2004,2008,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9511,2,KTM,360 SX,1996,1997,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9512,2,KTM,380 SX,1998,2002,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9516,2,KTM,125 EXC,1991,1998,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517,2,KTM,125 EXC,1998,1999,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9520,2,KTM,125 EXC,2004,2011,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9521,2,KTM,200 EXC/XC/XC-W,1998,1999,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9523,2,KTM,200 EXC/XC/XC-W,2004,2011,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9525,2,KTM,250 EXC/XC/XC-W,1991,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9527,2,KTM,250 EXC/XC/XC-W,2004,2004,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531,2,KTM,250 EXC/XC/XC-F,2005,2011,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9532,2,KTM,300 EXC/XC/XC-W,1995,1997,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9533,2,KTM,300 EXC/XC/XC-W,1998,1998,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9534,2,KTM,300 EXC/XC/XC-W,1999,1999,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9539,2,KTM,300 EXC/XC/XC-W,2000,2004,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9540,2,KTM,300 EXC/XC/XC-W,2005,2008,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9544,2,KTM,380 EXC,2000,2001,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9547,2,KTM,250 EXC/XC/XC-F,2002,2002,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9548,2,KTM,250 EXC/XC/XC-F,2003,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9549,2,KTM,250 EXC/XC/XC-F,2004,2004,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9554,2,KTM,400 LC4/E,1997,2000,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9558,2,KTM,400 SX,1999,2002,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561,2,KTM,400 EXC/XC-W,2000,2008,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9563,2,KTM,250 SX-F,2006,2008,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9564,2,KTM,250 EXC-F,2007,2011,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,2,KTM,450 SX-F,2003,2003,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9566,2,KTM,450 SX-F,2004,2008,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9567,2,KTM,450 EXC/XC/XC-W,2003,2003,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9569,2,KTM,450 SMR,2006,2006,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9570,2,KTM,520 SX,1999,2002,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9571,2,KTM,525 SX,2003,2006,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9572,2,KTM,520 EXC,2000,2002,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9574,2,KTM,525 EXC,2003,2009,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9580,1,KTM,620 LC4/E,1997,1998,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9586,1,KTM,620 Duke,1997,1999,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9587,1,KTM,620 AdventureR,1998,1998,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9590,1,KTM,625 SXC,2003,2006,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9591,1,KTM,640 LC4 Supermoto,1999,2006,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592,2,KTM,640 LC4-E Enduro,2000,2006,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593,1,KTM,640 Adventure R,1999,2006,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9594,1,KTM,640 Duke,2000,2003,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595,1,KTM,640 Duke,2004,2006,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9596,1,KTM,660 SMC,2003,2004,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9597,1,KTM,660 SMC,2005,2006,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9598,1,KTM,950 Adventure,2004,2004,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600,1,KTM,950/990 Adventure,2005,2012,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603,1,KTM,690 Supermoto,2007,2008,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,2,MONTESA,Cota 314 R,1994,1996,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9605,2,MONTESA,Cota 315 R,1997,2000,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9606,2,MONTESA,Cota 315 R,2001,2002,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9607,2,MONTESA,Cota 4RT,2005,2009,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9610,1,OZ RACING,76 x 100 PCD,2000,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9615,2,SUZUKI,RM 65,2003,2005,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9616,2,SUZUKI,RM 80,1989,2001,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618,2,SUZUKI,RM 85,2002,2004,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9619,2,SUZUKI,RM 85L (19/16),2002,2003,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9620,2,SUZUKI,RM 85L (19/16),2004,2004,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623,2,SUZUKI,RM 125,1988,1991,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624,2,SUZUKI,RM 125,1992,1996,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625,2,SUZUKI,RM 125,1997,1999,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9626,2,SUZUKI,RM 125,2000,2003,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9627,2,SUZUKI,RM 125,2004,2005,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9628,2,SUZUKI,RM 125,2006,2011,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9630,2,SUZUKI,RM 250,1989,1995,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,2,SUZUKI,RM 250,1998,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9632,2,SUZUKI,RM 250,1999,1999,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9633,2,SUZUKI,RM 250,2000,2000,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9634,2,SUZUKI,RM 250,2001,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9635,2,SUZUKI,RM 250,2006,2011,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9636,2,SUZUKI,RM-Z 250,2004,2006,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9637,2,SUZUKI,RM-Z 250,2007,2009,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9638,2,SUZUKI,RM-Z 450,2005,2005,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9639,2,SUZUKI,RM-Z 450,2006,2007,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9640,2,SUZUKI,RMX 250,1989,1990,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9641,2,SUZUKI,RMX 250,1991,2001,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9642,2,SUZUKI,DR 350,1991,1993,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643,2,SUZUKI,DR 350,1994,1999,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644,2,SUZUKI,DR 350,1990,1993,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9645,2,SUZUKI,DR 350,1994,1995,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646,2,SUZUKI,DR 350,1996,1998,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9647,2,SUZUKI,DR-Z 110,2004,2006,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9648,2,SUZUKI,DR-Z 250,2004,2007,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9649,2,SUZUKI,DR-Z 400E,2000,2011,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9650,1,SUZUKI,DR-Z 400S,2001,2019,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9651,1,SUZUKI,DR-Z 400SM,2005,2024,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9652,6,SUZUKI,LT 250,1985,1992,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9653,6,SUZUKI,LT-Z 400,2003,2008,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9654,6,SUZUKI,LT-R 450,2006,2009,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9656,1,SUZUKI,RGV 250,1989,1990,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9657,1,SUZUKI,RGV 250,1991,1996,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9662,1,SUZUKI,GSX-R400,1990,1991,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9663,1,SUZUKI,GSF 400 Bandit,1991,1994,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9665,1,SUZUKI,GS 500,1989,1993,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9667,1,SUZUKI,GS 500E/F,1994,2008,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9670,1,SUZUKI,GSX 600F,1989,1992,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9671,1,SUZUKI,GSX 600F,1993,1997,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9672,1,SUZUKI,GSX 600F,1998,2004,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9673,1,SUZUKI,GSX-R600,1997,1997,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9674,1,SUZUKI,GSX-R600,1998,2000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9676,1,SUZUKI,GSX-R600,2004,2005,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9678,1,SUZUKI,GSX-R600,2009,2010,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9680,1,SUZUKI,GSF 600/S Bandit,2000,2004,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9682,1,SUZUKI,RF 600,1993,1994,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9683,1,SUZUKI,RF 600,1995,1997,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9685,1,SUZUKI,V-Strom DL 650,2004,2006,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9687,1,SUZUKI,GSF 650/S Bandit,2005,2006,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9688,1,SUZUKI,GSR 600,2006,2010,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9689,1,SUZUKI,SV 650,2003,2007,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9690,1,SUZUKI,SV 650S,2003,2007,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9694,1,SUZUKI,GSX 750F,1989,1996,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9695,1,SUZUKI,GSX 750F,1998,2004,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9696,1,SUZUKI,GSX 750,1998,2002,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699,1,SUZUKI,GSX-R750,1990,1991,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9700,1,SUZUKI,GSX-R750,1992,1995,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9701,1,SUZUKI,GSX-R750,1996,1997,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9702,1,SUZUKI,GSX-R750,1998,1999,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9704,1,SUZUKI,GSX-R750,2000,2003,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9706,1,SUZUKI,GSX-R750,2009,2010,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9708,1,SUZUKI,VZ 800 Marauder,1997,2001,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9709,1,SUZUKI,RF 900 (530 CONV),1994,1999,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9710,1,SUZUKI,TL 1000R,1998,2002,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9711,1,SUZUKI,TL 1000S,1997,2001,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712,1,SUZUKI,SV 1000,2003,2006,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9713,1,SUZUKI,GSX-R1000,2004,2006,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9715,1,SUZUKI,V-Strom DL 1000,2002,2010,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9716,1,SUZUKI,GSX 1100 (530 CONV),1988,1994,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9717,1,SUZUKI,GSF 1200/S Bandit,1996,2005,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9718,1,SUZUKI,GSF 1200S,2006,2006,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9719,1,SUZUKI,GSX 1300R Hayabusa,1999,2007,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9720,1,SUZUKI,GSX 1400,2002,2008,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9721,1,SUZUKI,GSF 1250S/SA Bandit,2012,2016,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9726,1,TRIUMPH,TT600,2000,2003,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9727,1,TRIUMPH,Speed Four,2003,2003,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9728,1,TRIUMPH,Speed Four,2004,2005,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9729,1,TRIUMPH,Daytona 600 / 650,2003,2005,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9730,1,TRIUMPH,Daytona 675,2013,2014,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9732,1,TRIUMPH,Bonneville T100,2002,2006,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9733,1,TRIUMPH,Bonneville AMERICA (OE 525 Chain),2002,2015,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9734,1,TRIUMPH,Speedmaster (OE 525 Chain),2003,2015,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9735,1,TRIUMPH,Trident 750,1991,1996,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9736,1,TRIUMPH,Daytona 750,1991,1993,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9737,1,TRIUMPH,Scrambler 865 (OE 525 Chain),2007,2015,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9738,1,TRIUMPH,Thruxton 865 (OE 525 Chain),2007,2015,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9739,1,TRIUMPH,Trident 900 /Sprint,1991,1998,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9740,1,TRIUMPH,Trophy 900,1991,1993,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9741,1,TRIUMPH,Trophy 900,1994,2000,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9743,1,TRIUMPH,Tiger 900,1999,2000,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9744,1,TRIUMPH,Tiger 955,2001,2004,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745,1,TRIUMPH,Tiger 955i,2005,2006,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746,1,TRIUMPH,Tiger 1050,2007,2013,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9747,1,TRIUMPH,Daytona 900/1000,1991,1993,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9748,1,TRIUMPH,Daytona 900,1994,1997,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9749,1,TRIUMPH,Speed Triple 900,1994,1996,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9750,1,TRIUMPH,Daytona 900 Super 3,1994,1994,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9751,1,TRIUMPH,Thunderbird 900 / Sport,1995,2004,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9752,1,TRIUMPH,AdventureR 900,1996,1998,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9753,1,TRIUMPH,Trophy 1200,1991,1992,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9754,1,TRIUMPH,Trophy 1200,1994,1996,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9755,1,TRIUMPH,Trophy 1200,1997,1998,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9756,1,TRIUMPH,Trophy 1200,1997,2002,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9757,1,TRIUMPH,Trophy 1200,1993,1993,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9758,1,TRIUMPH,Daytona 1200,1994,1997,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,1,TRIUMPH,Speed Triple T509/955,1997,2001,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9760,1,TRIUMPH,Speed Triple 955,2002,2004,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9761,1,TRIUMPH,DaytonaT595,1997,1998,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9762,1,TRIUMPH,Daytona 955i,1999,2001,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9763,1,TRIUMPH,Daytona 955i,2002,2002,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764,1,TRIUMPH,Daytona 955i,2003,2006,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9765,1,TRIUMPH,Daytona 955 Centennial,2002,2002,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9766,1,TRIUMPH,Speed Four,2006,2006,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9767,1,TRIUMPH,Sprint 955 RS,2000,2003,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9768,1,TRIUMPH,Sprint 955 RS,2004,2005,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9769,1,TRIUMPH,Sprint 955 ST,1999,2004,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9770,1,TRIUMPH,Sprint 1050 ST/ ABS,2010,2012,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,2,YAMAHA,YZ 80,1993,2001,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9776,2,YAMAHA,YZ 80 (BIG WHEEL),1994,2001,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,2,YAMAHA,YZ 85,2002,2002,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9778,2,YAMAHA,YZ 85,2003,2014,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9779,2,YAMAHA,YZ 85 (BIG WHEEL),2002,2014,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9784,2,YAMAHA,YZ 125,1993,1996,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9785,2,YAMAHA,YZ 125,1997,1997,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786,2,YAMAHA,YZ 125,1999,2001,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787,2,YAMAHA,YZ 125,2003,2004,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9788,2,YAMAHA,YZ 125,2007,2007,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9790,2,YAMAHA,YZ 250,1994,1997,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9791,2,YAMAHA,YZ 250,1998,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9792,2,YAMAHA,YZ 250,1999,2001,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9793,2,YAMAHA,YZ 250,2002,2002,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9794,2,YAMAHA,YZ 250,2008,2009,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9796,2,YAMAHA,YZ 250F,2003,2004,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9797,2,YAMAHA,YZ 250F,2005,2005,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9800,2,YAMAHA,YZ 400F,1998,1998,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9801,2,YAMAHA,YZ 400F,1999,1999,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802,2,YAMAHA,YZ 426F,2000,2002,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9804,2,YAMAHA,YZ 450F,2003,2004,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810,2,YAMAHA,WR 250,1997,1997,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811,2,YAMAHA,WR 250,1998,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,2,YAMAHA,WR 400F,1998,1998,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814,2,YAMAHA,WR 400F,1999,2000,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9815,2,YAMAHA,WR 426F,2000,2002,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816,2,YAMAHA,WR 450F,2003,2004,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819,2,YAMAHA,TTR 125,2000,2001,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820,2,YAMAHA,TTR 125,2002,2011,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9821,2,YAMAHA,TTR 125L,2000,2001,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822,2,YAMAHA,TTR 125L,2002,2012,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826,6,YAMAHA,YFS 200 Blaster,1988,2002,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9827,6,YAMAHA,YFM 350X Warrior,1987,1988,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
